,Cloudiness (%),Humidity (%),Latitude,Name,Temperature (F),Wind Speed (mph)
197,1,84,-23.81,libertador general san martin,280.6,1.71
198,75,93,69.41,dudinka,284.15,7.0
199,45,57,32.07,changji,302.7,4.19
200,23,55,-9.65,waingapu,301.5,5.54
201,20,87,63.83,hovd,281.39,7.2
202,85,87,0.61,muisne,295.1,5.68
203,0,78,54.72,athabasca,282.9,1.33
204,75,79,23.71,jamuria,304.97,5.1
205,100,98,5.86,ihiala,296.1,0.69
206,90,93,66.42,udachnyy,277.15,4.0
207,75,51,-33.04,whyalla,289.15,9.8
208,75,94,14.69,gat,297.15,4.6
209,0,72,72.79,upernavik,276.3,4.4
210,75,100,16.17,laguna,296.15,5.1
211,0,81,-35.36,altamirano,283.15,5.1
212,20,62,64.73,anadyr,284.42,2.0
213,23,58,27.79,wencheng,302.2,4.54
214,43,83,4.95,pizarro,299.2,1.6
215,100,98,18.48,pyu,296.3,2.43
216,0,54,-20.31,port hedland,300.15,5.7
217,75,87,65.28,norman wells,282.15,2.1
218,0,76,-26.79,presidencia roque saenz pena,283.5,2.06
219,5,26,-20.74,karratha,301.3,7.23
220,75,93,70.24,oksfjord,281.83,7.2
221,36,28,-2.54,sampit,309.7,1.77
222,82,94,10.31,miri,294.4,1.66
223,40,81,53.41,liverpool,285.96,3.6
224,93,80,-33.69,chuy,283.5,3.85
225,20,88,-0.59,san vicente,293.15,2.1
226,3,16,43.65,erenhot,303.6,4.25
227,75,65,-17.73,tautira,298.15,3.6
228,75,93,69.47,karasjok,282.15,8.7
229,59,88,11.32,sikasso,293.7,1.3
230,52,68,57.27,rudnogorsk,282.9,4.35
231,75,100,45.63,saint-augustin,284.96,1.1
232,22,65,65.42,maniitsoq,277.7,5.31
233,100,80,68.05,ostrovnoy,287.3,10.57
234,86,93,59.25,hauge,278.72,0.5
235,40,72,42.89,kant,288.15,5.0
236,0,76,42.77,muros,287.92,1.5
237,78,82,-3.28,trairi,296.9,3.45
238,20,94,-12.97,pemba,294.15,3.1
239,75,68,37.72,vila franca do campo,292.15,3.1
240,0,28,38.08,botou,305.9,2.15
241,1,93,46.87,moorhead,287.11,1.77
242,20,49,32.55,sinaloa,308.05,3.1
243,0,41,27.8,xinyu,308.1,0.87
244,94,79,18.4,latur,299.4,6.53
245,19,66,14.2,kutum,297.1,4.14
246,100,81,62.23,klaksvik,282.15,4.6
247,90,93,40.6,fortuna,290.14,2.6
248,40,88,-5.81,natal,295.64,3.6
249,0,88,49.27,melita,288.97,1.79
250,85,80,64.17,nuuk,278.15,7.7
251,20,88,13.07,oistins,299.15,1.5
252,1,24,45.22,dillon,293.8,2.6
253,100,90,57.8,tigil,284.0,4.97
254,2,53,-16.26,pocone,298.1,0.95
255,0,87,50.81,worthing,282.03,3.1
256,75,61,43.32,nemuro,300.15,1.5
257,100,74,60.89,amga,286.6,1.56
258,98,89,-15.19,namibe,291.1,2.07
259,88,90,12.18,auki,296.3,1.47
260,53,91,54.77,flin flon,282.4,4.05
261,100,80,-42.72,hokitika,284.2,4.34
262,0,30,18.39,faya,293.67,2.51
263,68,87,13.52,doka,298.6,4.44
264,38,65,66.15,pangnirtung,274.1,1.47
265,0,80,-45.58,coihaique,274.15,1.29
266,59,87,57.34,ostrov,286.15,2.0
267,90,87,-13.71,pisco,289.48,3.6
268,100,93,61.92,evensk,282.2,2.09
269,74,20,40.29,yumen,301.9,3.55
270,90,88,-7.84,chicama,290.15,4.1
271,20,69,37.19,rafraf,296.15,4.1
272,0,60,-34.67,kiama,295.04,10.3
273,40,65,-12.18,nhulunbuy,299.15,7.7
274,0,50,27.27,abnub,299.15,2.1
275,1,78,41.12,north platte,293.75,3.1
276,40,59,33.72,shingu,305.15,6.7
277,43,70,-9.11,atambua,297.9,1.12
278,0,80,-0.61,salinopolis,299.7,5.23
279,1,100,35.84,jonesboro,296.68,1.58
280,99,95,11.42,siguiri,295.2,0.88
281,71,96,-26.98,san patricio,285.8,2.99
282,90,82,46.49,sudbury,285.29,1.5
283,40,68,39.41,brigantine,293.27,3.1
284,75,73,38.73,praia da vitoria,294.15,6.47
285,98,45,13.06,lahij,305.6,3.83
286,63,96,4.89,takoradi,296.0,1.71
287,100,60,-37.88,lakes entrance,285.8,2.24
288,100,76,64.92,tarko-sale,290.37,5.17
289,60,83,3.38,lethem,298.1,1.74
290,40,66,35.73,hasaki,305.77,4.1
291,0,83,-0.92,padang,300.6,6.52
292,86,60,-6.12,kiunga,303.2,1.54
293,26,70,-6.22,kieta,301.0,4.93
294,99,73,-28.77,richards bay,291.7,7.95
295,0,35,37.89,annau,295.15,4.1
296,59,75,-8.15,buala,300.0,6.25
297,52,79,59.1,vao,287.9,5.67
298,0,46,36.42,shahrud,288.0,1.48
299,0,7,-23.53,emerald,306.3,6.2
300,2,49,35.07,jinxiang,303.0,2.74
301,0,36,59.36,okhotsk,291.6,7.43
302,75,88,-8.83,luanda,295.15,2.1
303,44,69,13.8,sabang,304.26,1.79
304,75,100,-7.75,itamaraca,295.15,4.6
305,94,78,-2.57,kavieng,300.7,6.7
306,0,20,34.16,leh,285.5,3.62
307,0,92,-22.12,henties bay,285.37,0.89
308,100,83,-1.57,omboue,297.0,3.25
309,100,76,-34.29,griffith,283.51,6.7
310,75,93,50.7,port hardy,286.15,2.1
311,95,82,-4.34,kokopo,298.0,0.99
312,90,82,55.34,mackenzie,286.15,0.19
313,40,74,10.57,kavaratti,302.15,2.1
314,50,64,11.0,dingle,304.0,5.8
315,75,93,70.63,rypefjord,282.15,7.2
316,35,42,9.49,bandarbeyla,304.1,14.09
317,0,67,31.45,mizdah,293.5,1.0
318,87,43,67.46,srednekolymsk,283.6,4.05
319,100,97,52.83,stepnyak,282.0,8.51
320,75,93,49.4,gibsons,291.79,2.1
321,100,99,20.0,tuxtla,286.8,0.12
322,14,89,-8.28,tamandare,295.3,1.23
323,75,93,68.36,inuvik,284.15,1.5
324,100,77,23.25,bhuj,303.3,5.57
325,1,78,30.04,nome,299.33,2.99
326,53,42,18.44,kidal,304.4,4.73
327,20,63,55.6,sargatskoye,287.7,8.41
328,97,82,5.97,weligama,300.6,6.04
329,13,67,-25.17,beloha,295.7,6.72
330,0,66,-34.05,plettenberg bay,284.6,1.97
331,1,73,30.3,harper,297.39,2.08
332,20,69,20.89,kahului,298.52,7.2
333,40,83,-20.41,mahebourg,296.73,1.0
334,92,83,-33.52,santa vitoria do palmar,281.7,3.31
335,40,54,-8.71,praya,302.15,6.2
336,10,95,-10.45,pacatuba,292.9,2.45
337,1,40,43.97,saint anthony,296.84,3.77
338,40,55,35.76,kita,305.3,5.1
339,90,93,-22.95,walvis bay,284.75,3.6
340,96,94,2.33,el retorno,295.6,0.43
341,0,80,37.31,aljezur,293.64,3.38
342,20,100,55.91,istra,288.34,1.0
343,75,61,43.19,yoichi,300.15,3.6
344,1,44,32.84,artesia,299.52,3.1
345,10,57,51.53,ilek,290.7,3.17
346,0,12,17.54,najran,299.15,1.0
347,27,98,-3.77,tucurui,294.9,0.7
348,90,100,15.02,kankon,297.15,5.1
349,90,100,17.01,salalah,298.15,1.5
350,40,44,-35.3,canberra,286.24,10.3
351,86,87,-2.51,fonte boa,298.3,1.96
352,96,81,52.47,broome,283.63,4.1
353,40,100,-41.87,ancud,278.15,1.0
354,40,55,35.12,ohara,306.39,3.6
355,1,71,-2.67,vanimo,301.3,3.44
356,67,78,28.66,los llanos de aridane,296.15,4.6
357,1,29,39.6,price,292.06,2.6
358,84,68,65.85,mezen,287.8,7.35
359,59,98,38.23,bajil,285.37,0.45
360,39,36,68.54,belaya gora,283.8,3.27
361,20,93,50.34,hun,278.72,1.5
362,20,69,38.09,orihuela,295.48,2.6
363,75,87,-36.72,talcahuano,281.15,2.1
364,78,78,-23.94,mundo novo,291.7,3.57
365,90,81,64.42,provideniya,283.15,4.0
366,0,33,-14.1,iaciara,292.5,1.2
367,75,63,52.04,aksu,290.15,3.0
368,75,93,64.56,severodvinsk,284.15,5.0
369,39,74,12.35,abu zabad,297.1,3.81
370,40,83,-19.98,cap malheureux,296.05,1.0
371,0,81,41.52,fraga,284.86,1.0
372,75,93,71.03,mehamn,282.15,1.5
373,3,34,-8.77,mpulungu,297.0,3.48
374,33,96,14.25,san jose,290.5,0.64
375,0,42,40.16,buarcos,290.82,2.6
376,56,25,47.83,altay,289.6,2.79
377,0,100,49.65,veraval,277.9,1.0
378,3,64,66.56,aksarka,290.0,4.82
379,0,87,-29.95,coquimbo,282.15,2.6
380,0,60,-34.58,flinders,294.7,10.3
381,38,57,27.88,xichang,300.93,1.82
382,100,94,5.43,naze,296.5,0.78
383,0,67,-28.55,oranjemund,288.5,6.49
384,96,93,4.42,tabou,296.7,1.6
385,21,81,-2.19,nhamunda,296.5,0.95
386,32,74,4.8,manuk mangkaw,302.1,6.79
387,90,82,40.8,eureka,290.18,1.68
388,100,81,62.16,vestmanna,282.15,4.6
389,88,50,64.57,ust-nera,278.1,2.18
390,5,38,-12.74,vilhena,296.5,0.46
391,31,40,28.28,gamba,285.9,3.46
392,100,84,11.28,bubaque,299.8,3.8
393,100,82,54.28,scarborough,286.07,5.1
394,48,70,63.86,vuktyl,288.9,2.85
395,20,79,17.15,sabya,305.15,3.6
396,1,88,31.56,natchez,297.77,0.27
397,99,90,-25.43,komatipoort,289.26,5.28
398,0,87,47.14,straseni,285.15,3.1
399,75,66,22.62,kaohsiung,303.82,3.1
400,7,83,-10.41,piacabucu,295.8,4.43
401,100,92,-41.05,burnie,280.93,3.58
402,40,76,55.1,la ronge,286.15,3.1
403,0,6,-28.95,codrington,305.21,10.3
404,0,71,68.31,kangaatsiaq,279.6,5.88
405,90,93,70.47,clyde river,277.15,2.1
406,64,47,20.52,atar,304.7,1.57
407,40,100,40.18,bursa,288.31,0.5
408,0,65,63.56,ukhta,290.4,1.72
409,42,88,-0.87,manokwari,298.0,1.55
410,94,73,19.91,pusad,302.3,6.99
411,0,82,47.49,vysokopillya,289.15,4.0
412,40,83,-20.21,quatre cocos,296.51,1.0
413,100,80,17.54,fuerte,301.7,10.55
414,51,81,45.34,parry sound,286.09,2.67
415,0,72,-51.62,rio gallegos,273.15,1.5
416,20,94,38.07,santa rosalia,293.12,2.1
417,100,87,63.44,vestmannaeyjar,282.8,5.81
418,88,88,-19.06,alofi,299.15,2.1
419,36,89,-12.12,pangoa,291.7,1.19
420,17,78,47.17,marystown,283.8,2.99
421,77,72,8.0,marawi,303.15,3.13
422,75,82,41.28,poum,286.15,1.5
423,90,93,65.95,aykhal,277.15,4.0
424,16,31,38.52,jinchang,298.7,3.4
425,0,79,21.46,cockburn town,301.6,7.03
426,75,88,24.8,hirara,300.67,7.7
427,4,77,-3.94,tanete,300.7,6.44
428,75,93,28.12,granadilla de abona,292.77,5.7
429,38,71,-0.02,pontianak,300.9,9.13
430,75,77,-22.42,tamasane,291.15,6.2
431,71,50,42.49,karakol,290.9,5.13
432,74,63,12.18,san policarpo,304.4,2.62
433,100,79,60.14,nanortalik,280.4,6.18
434,20,88,-17.88,quelimane,291.15,1.5
435,100,85,-39.94,waipawa,282.04,3.58
436,0,93,47.88,concarneau,280.64,2.1
437,95,89,-0.91,biak,294.6,1.09
438,1,32,35.03,yuncheng,305.6,4.85
439,1,63,60.75,haines junction,279.6,0.19
440,0,16,39.51,balkanabat,301.2,7.13
441,0,33,-28.01,karasburg,287.7,6.2
442,20,93,60.82,hay river,282.15,3.66
443,1,83,36.73,west plains,297.1,1.16
444,40,27,-31.97,broken hill,291.15,14.4
445,75,66,-9.43,honiara,302.15,3.6
446,99,76,62.53,omsukchan,282.0,1.55
447,0,56,49.63,assiniboia,288.1,2.35
448,75,79,16.86,acapulco,302.15,1.0
449,100,54,57.69,ust-ishim,287.8,5.18
450,21,57,47.32,dolinsk,300.15,4.0
451,40,68,39.1,laurel,293.66,2.1
452,20,25,39.84,isfana,297.15,7.0
453,100,84,14.07,dawei,300.0,5.46
454,63,97,5.26,mumford,295.5,1.25
455,75,38,38.51,tursunzoda,298.15,3.0
456,5,35,47.65,makat,293.8,2.62
457,30,40,26.99,kuchera,309.1,1.88
458,0,88,41.98,santa lucia,291.55,2.1
459,1,93,46.98,hoquiam,289.89,2.6
460,20,87,63.3,klaebu,280.36,7.2
461,57,70,13.3,oum hadjer,298.9,3.21
462,55,27,26.59,awbari,301.4,3.52
463,96,62,54.44,bagdarin,288.0,1.54
464,75,93,-23.1,cacapava,285.26,2.1
465,32,94,4.94,cayenne,297.15,2.33
466,14,43,53.13,tokur,295.8,2.44
467,55,23,45.25,ushtobe,296.1,7.61
468,40,87,68.61,verkhnetulomskiy,286.15,3.0
469,0,28,51.16,bay-khaak,290.8,0.51
470,52,87,62.85,povenets,286.5,4.67
471,0,52,-14.27,sambava,299.2,1.95
472,100,60,-19.53,camapua,295.4,7.79
473,1,65,21.35,makakilo city,300.56,4.6
474,75,68,33.08,camacha,294.15,5.7
475,75,82,-27.6,florianopolis,284.07,2.6
476,100,58,65.73,zyryanka,283.6,7.49
477,30,25,42.27,chifeng,300.9,3.05
478,0,52,11.28,bosaso,305.15,13.4
479,100,49,9.31,deder,300.2,3.08
480,95,79,-9.54,malanje,292.5,3.19
481,21,41,53.74,zeya,293.5,3.36
482,1,45,29.56,ojinaga,300.49,5.1
483,0,100,-10.15,senador guiomard,295.15,1.5
484,0,100,48.95,saint-pierre,277.75,3.6
